"STATENAME","STCD","SSAST","FIPSST","Eligible","MA Enrolled","Other Enrolled","PDP Enrolled"
"Alabama","AL","01","01","1,075,110","569,150","2,725","274,542"
"Alaska","AK","02","02","103,666","1,776","22","70,400"
"American Samoa","AS","64","60","4,415","93","*","101"
"Arizona","AZ","03","04","1,406,036","661,002","607","456,730"
"Arkansas","AR","04","05","654,318","236,956","1,419","265,771"
"California","CA","05","06","6,553,000","3,041,469","125,333","2,267,282"
"Colorado","CO","06","08","970,532","461,146","5,893","299,331"
"Connecticut","CT","07","09","707,457","357,771","91","240,961"
"Delaware","DE","08","10","224,561","57,448","274","125,894"
"Florida","FL","10","12","4,828,105","2,542,792","3,591","1,427,414"
"Georgia","GA","11","13","1,821,833","900,237","398","540,838"
"Guam","GU","65","66","18,573","51","13","2,784"
"Hawaii","HI","12","15","290,100","148,272","24","71,281"
"Idaho","ID","13","16","363,571","154,758","1,119","126,906"
"Illinois","IL","14","17","2,302,649","757,117","98,031","1,005,948"
"Indiana","IN","15","18","1,306,602","559,361","3,061","556,099"
"Iowa","IA","16","19","650,777","184,828","13,443","359,583"
"Kansas","KS","17","20","559,485","153,671","2,080","282,077"
"Kentucky","KY","18","21","954,373","440,405","5,357","386,739"
"Louisiana","LA","19","22","904,408","443,372","677","294,931"
"Maine","ME","20","23","358,251","179,912","35","110,146"
"Maryland","MD","21","24","1,083,364","191,645","342","526,567"
"Massachusetts","MA","22","25","1,383,694","384,395","36,233","709,626"
"Michigan","MI","23","26","2,141,619","1,122,535","44,344","984,158"
"Minnesota","MN","24","27","1,076,421","521,207","62,241","349,522"
"Mississippi","MS","25","28","619,309","204,027","152","274,701"
"Missouri","MO","26","29","1,271,194","591,472","1,705","467,406"
"Montana","MT","27","30","245,428","60,332","114","119,217"
"Nebraska","NE","28","31","361,823","91,049","8,126","191,491"
"Nevada","NV","29","32","564,006","260,089","362","166,177"
"New Hampshire","NH","30","33","319,357","90,106","116","155,233"
"New Jersey","NJ","31","34","1,667,968","607,714","1,467","876,229"
"New Mexico","NM","32","35","442,527","197,695","823","141,852"
"New York","NY","33","36","3,731,527","1,763,757","11,440","1,358,468"
"North Carolina","NC","34","37","2,091,809","993,968","2,860","696,374"
"North Dakota","ND","35","38","138,385","11,841","23,547","81,573"
"Northern Mariana Islands","MP","63","69","2,921","11","*","357"
"Ohio","OH","36","39","2,415,841","1,156,268","84,627","961,525"
"Oklahoma","OK","37","40","766,230","257,478","918","307,772"
"Oregon","OR","38","41","905,802","459,109","2,140","267,868"
"Pennsylvania","PA","39","42","2,820,304","1,355,855","12,941","1,067,612"
"Puerto Rico","PR","40","72","774,039","627,063","81","12,538"
"Rhode Island","RI","41","44","229,837","109,582","13,016","66,084"
"South Carolina","SC","42","45","1,141,282","437,392","15,624","447,587"
"South Dakota","SD","43","46","184,927","21,623","30,829","112,635"
"Tennessee","TN","44","47","1,411,027","669,898","1,012","470,527"
"Texas","TX","45","48","4,420,241","2,111,013","39,615","1,558,842"
"Utah","UT","46","49","430,795","194,589","1,778","135,105"
"Vermont","VT","47","50","156,055","39,321","14","82,705"
"Virgin Islands","VI","48","78","20,729","5,408","*","5,954"
"Virginia","VA","49","51","1,587,103","502,738","4,101","621,031"
"Washington","WA","50","53","1,441,146","596,209","1,671","456,716"
"Washington D.C.","DC","09","11","94,915","25,404","86","35,926"
"West Virginia","WV","51","54","443,944","186,206","16,687","156,412"
"Wisconsin","WI","52","55","1,236,001","589,327","46,135","427,963"
"Wyoming","WY","53","56","118,516","7,511","755","73,244"
